token_address,decimals
0x9Cf4717bcdb22f792858C9aC2F72d775a985350C,18
0x2742893B8860F846a7f26eDDEcDCb4BDb2145178,18
0xb9d4b4d710E47E6782f3FFD6740dfa65FD637C08,18
0x0a9d68886a0D7Db83a30ec00d62512483e5Ad437,0
0x9F6b47Aa2EB3381b831c81A3C1E978a2dA31b138,18
0xd51cC6c2FF5a6c435FAAaCE73Be54392dc4794e8,18
0xD5525D397898e5502075Ea5E830d8914f6F0affe,8
0x3e191a6Ef96f87092FE8dce0d3f01977b08D6aCF,18
0x89eE58Af4871b474c30001982c3D7439C933c838,18
0xEddda06A90FfaAEa3DB0C308F29F5798b7DE4325,18
0x9be2506ED76190c1D686403fdf457250339B4337,18
0xf4bf146142FdCa05c0DC8b5Eabfb64bE08E480A4,18
0x528d59AaAa7F005C06e0c223E955aAB4B995C9d0,18
0xd675cD70cFFf24aa6a3586600D9e5fc59f17117e,18
0xbd48afB89430EcC0a19d5Cfb189f700addfFC8B8,18
0xCd5702591d9Bbf7581084E6d510bbc93B06752be,18
0xE1dc1d30474C66e6cE95F471B6d2448C17D5671E,18
0x7fa27fAb3C6162B5C883224662c159E661669a11,18
0xa3623fd12042EBB7E3703c7413865c02188Db2Bd,18
0xcb9E106E86b3c2349ea7c6dDa63cd8B8267135aa,18
0x4e83Ec025069C55591E810206F9BE1779D11bB06,18
0xCd758B0Ca5364295e781613956692cc1A50Fc195,18
0x6cB12eed30C96376DA47f22C5EB370a80dCCBFd7,18
0xeE4458e052B533b1aABD493B5f8c4d85D7B263Dc,6
0xc919D04F5690F1f7c97159ae13bb6C9a526615c9,18
0x696a3F071c4B5fC816aE5901852251fe7B72dd29,18
0xAB34774dfA061527121951cD891223af6C567a73,18
0xE239598965528254467a90e4014b86128e3fbAfa,18
0xbC396689893D065F41bc2C6EcbeE5e0085233447,18
0x9c88ce2de7f4315D855Aa44497F7c5E74067cA4A,18
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,18
0x23c3339049aaD926FDd3070e228Ac46ad54E94a8,18
0x49d28302A5e4B0D32BB7cf937ba567770D4b573D,18
0xCc2F10a0a3886657f925A6EE7FD7664497f3d123,18
0xdD3155044EA8777D18eD1372F539911E1A764B58,18
0x6e5295e639b91341564340793909F5EAA86eEF49,18
0x247b7b8C3903fbfb01A19e50a5b86A50538c2a96,18
0xCb3b34626c28Ec62808861Bed59e49d0202A2108,18
0xc59D21C904c259e8bb2CaaC239162830772Bd0dA,18
0xD9A947789974bAD9BE77E45C2b327174A9c59D71,18
0x6A000d211f31f93BcA9FBC0Bcb8E866Ad281b45f,18
0xCd9b0a6D9990605f66bf5bf22980ADE8476e7740,8
0x197A9Ae8e93DB94dCb62B0fE30d1Ad1A44e0153c,18
0x7861b7cd3e64caC7F45fCbC34af183C7532eC18B,18
0x826B2Ad0062d34e964d69338259e0D2766650287,18
0xa57F06C01A7A6B1B918b31C376b69264fd5fB84c,18
0x40B5C6AFBdf42134107D17D4b78685e02134Ae1F,18
0x6096d2460CF5177E40B515223428DC005ad35123,18
0x78Fa53517ec8747aC29300842b9186fa2cB2DEf6,18
0x41eFc0253ee7Ea44400abB5F907FDbfdEbc82bec,18
0x4Fabb145d64652a948d72533023f6E7A623C7C53,18
0x0D2a3b821B8bD76d4FFd3D44EbdC92825A394bD3,18
0xdFB182e2598E99f8BDD64C3264615CEff6512203,18
0x0Ca9940C9B76AD02a47e0970D6Cf924C2332B877,18
0xf8678D9351c4A10EAf9b8837E93921e6D75aADEF,18
0xed10b15702D2739F2526BBF4b852b5df9705178e,18
0x163D8e4A326119fB2342e2eFD1BEE2bE0F31788f,18
0xc97E3c7bE339fef7E5f05B92093d999700091A82,18
0x1472C671E761F3f377A025B71D26A8a026701f7B,18
0xaF129655Bb469eCE9CBc9ab01446545C340f26d9,18
0x0d14A49A146FF50c33E9e047C694241B7500e510,18
0x28b0bE8a04F686939d520a7073097990ec518Be5,18
0x127b054DA5e4Bab97d99dE20C837A287cbb69da2,18
0x91D34eC2815712697fA218151915d0F0c5e982b0,18
0x521e6682b7ff3E412B9f5A13c3173BE3e30E743B,18
0x2b1a37236a0b60d0840Ac86830474020Fd8Fd921,2
0x0A700e2B40c9c7386fc2E06A08D8b9a30062D582,18
0x4A34E0595C1116b9ee6700B1C4Fc0026ddE708ad,18
0xC0E47007e084EEF3EE58eb33D777b3B4Ca98622f,18
0xacD1716ED237904460D2eA4cd3aaeFfe899Fca23,18
0xcD4292701995F4707AE63fb1a48d80dB2c5F04D4,18
0x83e0573F777ca0932f8CDDA2b0afa51789e8d6e0,18
0xcC1146994253356Ec40930F9753c6b97869CC530,2
0xb70b2bC95D2708aA633b7ddC65ED870920Eb4e5C,18
0xD46bA6D942050d489DBd938a2C909A5d5039A161,9
0xbCa189786449aC9e509E95aa572e5FAdB7317baE,18
0x616a9aCAcD039EebE8c986E3C8942E713F919C0A,18
0xE7aCf8EB8FDdBf4C601F083bf1309755D99Fd899,18
0x57bbC753a3E7625cD53B87342A36B00B7Ac71406,18
0xAF7904e642199D41C03fb43fF26Ce5ce0242B9ED,18
0x4a99dA78FD07AEEE6C65EEDa9Ae59912fa33bF52,18
0xB7c5A8d000FEA9501e5488581A0288b5ad81b788,18
0xb02899B895aD5DD975784adde42C92362503A025,18
0x488E0369f9BC5C40C002eA7c1fe4fd01A198801c,18
0x17d7EB32dF6fba5901602d0B267881B5E03F9496,18
0x6B175474E89094C44Da98b954EedeAC495271d0F,18
0x82bfdD53dd95eFA2c3E92543f28D46c566Bf4B8a,8
0x24007576eB0a6Eb54cE53961FD6Ae21c1189Cb92,18
0x1d36E86085440cdc1819A4586235172eD04eC169,18
0x4790f605CBDBa5fCe4F209868B5A05B3bFf7272c,18
0x0000000000085d4780B73119b644AE5ecd22b376,18
0x17243055F2E783AFAef56Be705789927879c7402,18
0x3b4cAAAF6F3ce5Bee2871C89987cbd825Ac30822,18
0x275ffeF995124C31f624c9C858F9e84a8E67412C,18
0x6B09A6A4EE1C2A25d7623371F1579e094cC7dA0F,5
0xdD4A231635Bb9DA67DEa2E0E3daeffD8688cF810,18
0x05074b439211739bd952e1092127f17AFD0dE204,18
0x3a73F6156C4fBC71B8fDF38090A9D99401163644,18
0xf7Cd11226938028dC2ee00fb917cda8B1f8aBFcE,18
0x3eB2EFf79b41C9E978991ee5B34F71A87115fd92,18
0x9D24364b97270961b2948734aFe8d58832Efd43a,18
0x2B78C26973545F9fD7EbDb01922966628382e6Ba,18
0xAd0820827Df41aa5e27B8B994dB04837c0571540,18
0xa0246c9032bC3A600820415aE600c6388619A14D,18
0x1188dF4bF808e842016B56eDAF853185279b1cC9,18
0x4cfDbfe87C0a69949054Fff0F4dDb33EF8480E36,18
0xC1CfB5C9B3Bb09f5d62d961B625c670AAe9FB4Cf,18
0x68a3637bA6E75c0f66B61A42639c4e9fCD3D4824,18
0x92C4e49440312e20416D7fE96EC3E8638f6798D1,18
0xb0C158FdF257D601386612d0bD15D5BD4AcEe7D2,6
