token_address,decimals
0xBc0A9dBA0Ece69ECaB879446B76Ae33Ae3C93723,9
0x63454D31e6BBB7eF305B485115C941bb78CA3a48,18
0xB35ED5c39f371F2cd4Bc2eDaB1f8DA314168186A,18
0xc1048E25d5303e78CbA4b5D2D0eB34cdF2448684,18
0x8C543AED163909142695f2d2aCd0D55791a9Edb9,18
0xf7DD746A613Fb6362D44eCEDEB743f62ade6c3aa,9
0xF6644b6728A4dcf04984fE5F9cF074d7d495bd68,18
0xDB0170e2d0c1CC1b2E7a90313d9B9afA4f250289,18
0xDd01496Ff8C8F1Ee771f7E57D54e84df8cAcE4EF,18
0x102B83d2Cbf1A8A1f798D1175C8c3ee55565d520,18
0x509eeCe4793B46E4d81c0D4Cb0A5A0c26C45E304,18
0xEB432a7692c9a38b2242f6c413550Ee9c0f205b7,9
0x47B981BFC0b473C909b3f2a839859f2BcF7E4e81,9
0xbB5De3203f7f292acfd7bA0b168145860A0E93D3,9
0x9Ef64bcF9de9b25d7D687eB311cBF0192b644C7E,18
0x0aE8B74Cd2D566853715800c9927f879d6B76A37,9
0x559ca8c0955F7A43BACbD943662FCb43E73238F3,9
0x619a3bE6dfd089BfAa2b7eb04578be1d5efdbaa3,18
0x733afa043aCEb25C9771877ebEB439519293B036,18
0xD17d0ffDd8c8c3f587dC1F00aCcA4734De5F81Dd,18
0xB0c7a3Ba49C7a6EaBa6cD4a96C55a1391070Ac9A,18
0xa8F69569cd82Fa32128dc97EecA471448596d075,18
0x09045d9cad96Dbb7bCdA8886B5279Ee4d038056c,18
0x7FA7dF4996AC59F398476892cfB195eD38543520,18
0x6e5970DBd6fc7eb1f29C6D2eDF2bC4c36124C0C1,18
0x764dcE280850DE512e915a3d997F8118999a1711,18
0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0,18
0xe0B9a2C3E9f40CF74B2C7F591B2b0CCa055c3112,18
0x8CbEfdE5F8E2563FCE3A16C8D670C32D97001579,18
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
0xB51F910C27149d32c1ceb147158Fa616B498bD21,9
0xA6f7B048517b9Cb9aFd5e5Fd603d908e18eb586f,18
0xA6F7645ed967FAF708A614a2fcA8D4790138586f,18
0x16a0048879FD256455e856e7c895d4b7590Dfc22,18
0xAa4483BD555f6CddfE34C2Ee6A5A798E5C75775A,18
0x6c936D4AE98E6d2172dB18c16C4b601C99918EE6,18
0x131157c6760f78f7dDF877C0019Eba175BA4b6F6,18
0xB4076B57eCc14Bee0E19F848ED3cA0188302fed4,18
0xa72875935b9FEABa1a0A7a346498640d0B1c75eb,18
0x4D4f3715050571A447FfFa2Cd4Cf091C7014CA5c,18
0xbDa69906B3ea9b3F73311674521898a8c60162B2,18
0x7d11Df243d34ccAf34C9962E9624A34530eeaF79,18
